,booliId,streetAddress,constructionYear,soldPriceAbsoluteDiff,soldPricePercentageDiff,listPrice,objectType,descriptiveAreaName,soldPriceType,daysActive,soldDate,latitude,longitude,url,__typename,soldPrice.raw,floor.raw,soldSqmPrice.raw,livingArea.raw,rooms.raw,soldPriceAbsoluteDiff.raw,soldPricePercentageDiff.raw,listPrice.raw,floor,soldSqmPrice,livingArea,rooms
21,2211151,Pokalvägen 4,1944.0,,,,Lägenhet,Södermalm,Slutpris,14.0,2016-11-18,59.31851,18.02356,/bostad/700745,SoldProperty,3250000,4.0,81250.0,40.0,1.5,555000.0,20.6,2695000.0,,,,
22,2211401,Katarina Bangata 67A,1967.0,,,,Lägenhet,Södermalm,Slutpris,16.0,2016-11-20,59.30942982,18.08820557,/annons/2211401,SoldProperty,2950000,4.0,105357.0,28.0,1.0,555000.0,23.2,2395000.0,,,,
23,2215560,Tullgårdsgatan 10,1993.0,,,,Lägenhet,Södermalm,Slutpris,12.0,2016-11-23,59.30519606,18.08284737,/bostad/344014,SoldProperty,6600000,6.0,89189.0,74.0,4.0,1105000.0,20.1,5495000.0,,,,
24,2101597,Fatburs Brunnsgata 22,1988.0,,,,Lägenhet,Södermalm,Slutpris,21.0,2016-06-03,59.31361892,18.06439328,/annons/2101597,SoldProperty,5500000,5.0,72368.0,76.0,3.0,505000.0,10.1,4995000.0,,,,
25,2124684,Götgatan 73A,1889.0,,,,Lägenhet,Södermalm,Slutpris,13.0,2016-06-23,59.31135934,18.07511687,/annons/2124684,SoldProperty,4200000,3.0,82353.0,51.0,2.0,205000.0,5.1,3995000.0,,,,
26,2167420,Skeppargatan 21,1893.0,,,,Lägenhet,Östermalm,Slutpris,11.0,2016-09-16,59.3339394,18.082725,/bostad/732615,SoldProperty,3925000,,112143.0,35.0,2.0,75000.0,1.9,3850000.0,,,,
27,2170726,Karlavägen 72,1928.0,,,,Lägenhet,Mälardalen,Slutpris,73.0,2016-11-21,59.3381815,18.086567,/annons/2170726,SoldProperty,27000000,3.0,112033.0,241.0,6.0,2000000.0,8.0,25000000.0,,,,
28,2156759,Brantingsgatan 22,1939.0,,,,Lägenhet,Gärdet,Slutpris,12.0,2016-08-31,59.34619,18.094612,/bostad/591682,SoldProperty,3150000,3.0,85135.0,37.0,1.5,300000.0,10.5,2850000.0,,,,
29,2193860,Sandhamnsgatan 53,1962.0,,,,Radhus,Gärdet,Slutpris,11.0,2016-10-18,59.34225,18.110825,/annons/2193860,SoldProperty,3620000,,92821.0,39.0,2.0,670000.0,22.7,2950000.0,,,,
30,2192888,Sandhamnsgatan 57A,1966.0,,,,Lägenhet,Gärdet,Slutpris,11.0,2016-10-18,59.341805,18.111792,/annons/2192888,SoldProperty,2600000,1.0,78788.0,33.0,1.0,125000.0,5.1,2475000.0,,,,
31,2193659,Sandhamnsgatan 21,1943.0,,,,Lägenhet,Gärdet,Slutpris,11.0,2016-10-18,59.345383,18.109404,/bostad/720131,SoldProperty,4410000,6.0,74746.0,59.0,3.0,660000.0,17.6,3750000.0,,,,
32,2205139,Östhammarsgatan 69,1944.0,,,,Lägenhet,Gärdet,Slutpris,24.0,2016-11-19,59.343777,18.111343,/annons/2205139,SoldProperty,2875000,2.0,72785.0,39.5,1.0,380000.0,15.2,2495000.0,,,,
33,2074310,Gotlandsgatan 60,1935.0,,,,Lägenhet,Södermalm Katarina,Slutpris,11.0,2016-04-26,59.31004,18.08006,/bostad/153594,SoldProperty,2610000,3.0,93214.0,28.0,1.0,460000.0,21.4,2150000.0,,,,
34,2089761,Kocksgatan 40,1939.0,,,,Lägenhet,Södermalm Katarina,Slutpris,13.0,2016-05-12,59.314346,18.080992,/bostad/637304,SoldProperty,2890000,6.0,82571.0,35.0,2.0,195000.0,7.2,2695000.0,,,,
35,2043520,Svarvargatan 10,1931.0,,,,Lägenhet,Kungsholmen,Slutpris,13.0,2016-04-14,59.337445,18.0276961,/bostad/756605,SoldProperty,3300000,3.0,76744.0,43.0,1.5,350000.0,11.9,2950000.0,,,,
36,2089581,Kommendörsgatan 40A,1887.0,,,,Lägenhet,Östermalm,Slutpris,12.0,2016-05-11,59.3370325,18.0861255,/annons/2089581,SoldProperty,5750000,2.0,122340.0,47.0,2.0,755000.0,15.1,4995000.0,,,,
37,2104742,Dalagatan 21,1888.0,,,,Lägenhet,Vasastan,Slutpris,9.0,2016-05-26,59.343235,18.043886,/annons/2104742,SoldProperty,3600000,2.0,100000.0,36.0,1.0,405000.0,12.7,3195000.0,,,,
38,2102393,Atlasgatan 7,1929.0,,,,Lägenhet,Vasastan,Slutpris,17.0,2016-05-30,59.338142,18.038769,/bostad/333154,SoldProperty,3750000,3.0,96154.0,39.0,2.0,355000.0,10.5,3395000.0,,,,
39,2115571,Reimersholmsgatan 77,1981.0,,,,Lägenhet,Reimersholme,Slutpris,14.0,2016-06-11,59.3175261,18.0179433,/bostad/705768,SoldProperty,5025000,2.0,70280.0,71.5,2.0,530000.0,11.8,4495000.0,,,,
40,2083922,Surbrunnsgatan 2,1897.0,,,,Lägenhet,Vasastan,Slutpris,5.0,2016-07-19,59.34653935,18.06157258,/bostad/754724,SoldProperty,4000000,1.0,100000.0,40.0,2.0,505000.0,14.4,3495000.0,,,,
41,2139606,Birger Jarlsgatan 104L,1928.0,,,,Lägenhet,Vasastan,Slutpris,7.0,2016-07-21,59.34756182,18.06255343,/annons/2139606,SoldProperty,3000000,1.0,96774.0,31.0,1.0,505000.0,20.2,2495000.0,,,,
42,2078961,Fleminggatan 27,1907.0,,,,Lägenhet,Kungsholmen,Slutpris,13.0,2016-08-05,59.332897,18.043653,/bostad/574925,SoldProperty,7100000,1.0,86585.0,82.0,3.0,405000.0,6.0,6695000.0,,,,
43,2073069,Södermannagatan 10,1930.0,,,,Lägenhet,Södermalm,Slutpris,11.0,2016-08-08,59.3145,18.079885,/bostad/637211,SoldProperty,3400000,2.0,87179.0,39.0,1.5,405000.0,13.5,2995000.0,,,,
44,2148437,Ehrensvärdsgatan 4,1931.0,,,,Lägenhet,Kungsholmen,Slutpris,12.0,2016-08-18,59.328335,18.03432,/bostad/333782,SoldProperty,4040000,4.0,93953.0,43.0,2.0,545000.0,15.6,3495000.0,,,,
45,2152393,Drottninggatan 110,1886.0,,,,Lägenhet,Centrum,Slutpris,14.0,2016-08-26,59.339115,18.056335,/annons/2152393,SoldProperty,8300000,,92222.0,90.0,3.5,605000.0,7.9,7695000.0,,,,
46,2152698,Svartensgatan 8B,1892.0,,,,Lägenhet,Södermalm,Slutpris,14.0,2016-08-26,59.31715,18.073326,/annons/2152698,SoldProperty,5275000,3.0,90948.0,58.0,2.0,280000.0,5.6,4995000.0,,,,
47,2162010,Odengatan 75,1899.0,,,,Lägenhet,Vasastan,Slutpris,12.0,2016-09-07,59.3424132,18.049771,/bostad/691902,SoldProperty,16000000,4.0,110345.0,145.0,5.0,2005000.0,14.3,13995000.0,,,,
48,2162219,Strålgatan 45,1939.0,,,,Lägenhet,Lilla Essingen,Slutpris,11.0,2016-09-07,59.3244386,18.00338822,/bostad/752125,SoldProperty,3500000,4.0,94595.0,37.0,2.0,705000.0,25.2,2795000.0,,,,
49,2171982,Norrbackagatan 40,1906.0,,,,Lägenhet,Birkastan,Slutpris,11.0,2016-09-20,59.34122053,18.03078261,/bostad/684555,SoldProperty,4330000,3.0,105610.0,41.0,2.0,835000.0,23.9,3495000.0,,,,
50,2078994,Birger Jarlsgatan 125,1912.0,,,,Lägenhet,Vasastan,Slutpris,28.0,2016-09-17,59.3506,18.05749,/annons/2078994,SoldProperty,3820000,4.0,77959.0,49.0,2.0,-175000.0,-4.4,3995000.0,,,,
51,2172018,Birger Jarlsgatan 67,1924.0,,,,Lägenhet,Östermalm,Slutpris,11.0,2016-09-20,59.34330706,18.0626009,/bostad/562932,SoldProperty,7195000,2.0,105809.0,68.0,3.0,1200000.0,20.0,5995000.0,,,,
52,2177549,Wallingatan 13,1889.0,,,,Lägenhet,Centrum,Slutpris,14.0,2016-09-30,59.33704517,18.056795,/bostad/794750,SoldProperty,10375000,,90217.0,115.0,4.0,680000.0,7.0,9695000.0,,,,
53,2177610,Linnégatan 78,1970.0,,,,Lägenhet,Östermalm,Slutpris,31.0,2016-10-18,59.3343881,18.0936147,/annons/2177610,SoldProperty,4995000,2.0,120944.0,41.3,2.0,0.0,0.0,4995000.0,,,,
54,2195091,Gyllenborgsgatan 11,1927.0,,,,Lägenhet,Kungsholmen,Slutpris,9.0,2016-10-19,59.33283,18.015713,/annons/2195091,SoldProperty,3450000,2.0,88462.0,39.0,2.0,555000.0,19.2,2895000.0,,,,
55,2193296,Frejgatan 36A,1944.0,,,,Lägenhet,Vasastan,Slutpris,13.0,2016-10-20,59.344894,18.047089,/annons/2193296,SoldProperty,3700000,1.0,97368.0,38.0,1.5,505000.0,15.8,3195000.0,,,,
56,2193768,Birger Jarlsgatan 97,1910.0,,,,Lägenhet,Vasastan,Slutpris,14.0,2016-10-21,59.34730509,18.06072661,/annons/2193768,SoldProperty,6200000,2.0,98413.0,63.0,3.0,705000.0,12.8,5495000.0,,,,
57,2198969,Ingemarsgatan 3B,1913.0,,,,Lägenhet,Vasastan,Slutpris,14.0,2016-10-29,59.34937,18.058014,/annons/2198969,SoldProperty,3450000,2.0,107813.0,32.0,2.0,555000.0,19.2,2895000.0,,,,
58,2199011,Birger Jarlsgatan 65A,1913.0,,,,Lägenhet,Vasastan,Slutpris,19.0,2016-11-03,59.343155,18.062845,/bostad/99327,SoldProperty,12000000,1.5,86331.0,139.0,4.0,505000.0,4.4,11495000.0,,,,
59,2203177,Odengatan 81,1898.0,,,,Lägenhet,Vasastan,Slutpris,13.0,2016-11-03,59.3420405,18.0482898,/bostad/691939,SoldProperty,4900000,4.0,116667.0,42.0,2.0,705000.0,16.8,4195000.0,,,,
60,2190612,Strålgatan 45,1938.0,,,,Lägenhet,Lilla Essingen,Slutpris,40.0,2016-11-13,59.3244386,18.00338822,/bostad/752119,SoldProperty,3250000,3.0,85526.0,38.0,2.0,255000.0,8.5,2995000.0,,,,
61,2203228,Bergsgatan 29,1935.0,,,,Lägenhet,Kungsholmen,Slutpris,18.0,2016-11-08,59.33021,18.040552,/bostad/576322,SoldProperty,4200000,5.0,113514.0,37.0,2.0,205000.0,5.1,3995000.0,,,,
62,2211656,Luntmakargatan 70,1798.0,,,,Lägenhet,Vasastan,Slutpris,12.0,2016-11-16,59.341606,18.05949,/bostad/648018,SoldProperty,4100000,1.0,107895.0,38.0,2.0,805000.0,24.4,3295000.0,,,,
63,2137094,Tomtebogatan 29,1909.0,,,,Lägenhet,Birkastan,Slutpris,10.0,2016-11-25,59.341457,18.03025,/bostad/684320,SoldProperty,10800000,2.0,100000.0,108.0,4.5,1005000.0,10.3,9795000.0,,,,
